INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Montgomery County Community College,Blue Bell,PA,19422-0796,3,3,-75.276093,40.175609
Moore College of Art and Design,Philadelphia,PA,19103-1179,1,1,-75.172105,39.957078
Moravian University,Bethlehem,PA,18018-6650,2,2,-75.383638,40.630947
Mount Aloysius College,Cresson,PA,16630-1999,2,2,-78.600898,40.459679
Muhlenberg College,Allentown,PA,18104,2,2,-75.508502,40.596416
Neumann University,Aston,PA,19014-1298,2,2,-75.440022,39.874876
New Castle School of Trades,New Castle,PA,16101,2,1,-80.401417,41.035228
Northampton County Area Community College,Bethlehem,PA,18020-7599,3,3,-75.32351,40.67253
Heritage Valley Health System School of Nursing,McKees Rocks,PA,15136,-2,1,-80.091066,40.472356
Orleans Technical College,Philadelphia,PA,19114-1014,-2,1,-75.011324,40.090338
Salus University,Elkins Park,PA,19027-6262,2,2,-75.129511,40.085774
Pennsylvania Institute of Technology,Media,PA,19063-4098,2,1,-75.38893,39.908335
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,2,2,-79.983818,42.119417
Pennsylvania State University-Penn State Great Valley,Malvern,PA,19355-1488,1,1,-75.522409,40.052444
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,2,1,-79.697461,40.551056
Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,1,1,-80.50924,41.235131
Pennsylvania State University-Penn State Wilkes-Barre,Dallas,PA,18627-0217,1,1,-76.016151,41.305602
Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,2,1,-75.621401,41.439843
Pennsylvania State System of Higher Education-Central Office,Harrisburg,PA,17110,-2,-2,-76.855799,40.317418
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,2,1,-75.40267,40.559201
Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,2,2,-78.409601,40.541759
Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,2,1,-80.296316,40.678271
Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,2,2,-75.97329,40.358839
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,3,2,-76.741216,40.204253
Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,2,2,-75.449704,39.927123
Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,1,1,-78.751554,41.127184
